@relation '<netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement-V-weka.filters.supervised.instance.Resample-B0.0-S1-Z50.0-no-replacement-V-weka.filters.unsupervised.attribute.Remove-R4-5,8-10,13-19,22,27,29-33,36-37-weka.filters.unsupervised.attribute.Remove-R13-14'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
1749,542080,1485,309,1500,14640,1428,168788,590026076,2001612,10813140,2292809,1258,1030,69980,59404,vpn
40,7590,34,189,1500,1500,313,276416,590024811,355678,1225148,400961,24,17,1620,1364,vpn
417,116658,390,279,1614,5880,783,196133,590028389,1480960,14729858,2787490,312,208,16700,15604,vpn
1191,380870,1069,319,1500,14640,1772,121751,590026586,1032544,17852591,2476614,852,814,47660,42764,vpn
1909,456734,1729,239,1500,16100,2683,110069,357025584,1049044,7382498,1731876,1236,1366,76380,69164,vpn
681,134002,568,196,1500,14640,1885,200313,783777084,512134,6788379,843920,452,393,27260,22724,vpn
1158,321382,974,277,1500,16100,1157,180135,590024837,1349403,7776307,1576463,820,683,46340,38964,vpn
930,284894,816,306,1500,8800,1224,160738,590025429,1147976,7595271,1548648,658,581,37220,32644,vpn
2159,744462,1837,344,2960,17560,1775,149899,590024755,1236735,9220979,2020956,1421,1359,86380,73484,vpn
1744,532132,1425,305,2958,20480,1371,145547,590025983,1281252,14863648,2250405,1192,1028,69780,57004,vpn
40,7590,34,189,1500,1500,313,275454,590029920,366803,1231911,399873,25,16,1620,1364,vpn
109,28356,98,260,1500,11720,1970,148805,120354011,525562,1834067,559168,79,71,4380,3924,vpn
15071,3880320,15630,257,2960,46760,4057,44113,526814926,929397,12501859,1834702,9505,14409,602860,625204,vpn
888,246176,790,277,1500,14640,1476,170123,590023947,1023712,9810337,1816801,663,544,35540,31604,vpn
1186,366496,972,309,1500,11720,1329,151911,590025773,1398612,16374548,2677845,792,718,47460,38884,vpn
2375,757170,2031,318,2450,19020,1842,122000,590026616,1714645,27798486,3548014,1647,1536,95020,81244,vpn
43,8058,35,187,1500,1500,310,232592,590025566,330978,1104916,372049,27,17,1740,1404,vpn
3421,1111048,3237,324,2592,43840,4934,96111,590025631,1585773,9474058,1835378,2239,2751,136860,129484,vpn
1618,481394,1361,297,1500,10260,1006,142196,590025889,1240074,8361612,1858124,1152,960,64740,54444,vpn
