@relation '<netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R4-5,8-10,13-19,22,27,29-33,36-37-weka.filters.unsupervised.attribute.Remove-R13-14'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
1260,386258,1055,306,1694,10260,1392,171295,590030120,1068368,18474079,2216276,883,761,50420,42204,vpn
1919,575844,1593,300,1500,29240,1969,171674,590026225,1652594,11044037,2147145,1335,1194,76780,63724,vpn
1555,493218,1333,317,2960,14640,1381,147187,590025973,1496005,10272901,2080230,1063,989,62220,53324,vpn
39,7494,33,192,1500,1500,317,260885,590026757,409998,1212704,407608,24,16,1580,1324,vpn
39,7368,32,188,1500,1500,321,352517,590028473,484143,2207665,644441,24,16,1580,1284,vpn
3657,1116210,3232,305,2590,27780,3292,115182,590025175,1818814,13439889,2659537,2562,2609,146300,129284,vpn
668,193074,540,289,2960,10260,980,192850,590025159,1032909,3549659,991157,405,388,26740,21604,vpn
711,214416,612,301,2234,8800,1005,150024,590024753,907983,5701532,1208219,493,413,28460,24484,vpn
3069,956600,2676,311,1500,14640,1315,149759,590028863,1587865,7436702,1730792,2181,1972,122780,107044,vpn
867,262200,695,302,2960,11720,1111,180115,590024165,1638825,9034555,2084852,569,509,34700,27804,vpn
1499,436808,1287,291,1500,11720,1269,156670,590026027,1390501,8683993,1911325,1046,938,59980,51484,vpn
67,11872,57,177,1500,2960,448,195267,590025933,311162,1131208,343200,41,32,2700,2284,vpn
1236,461082,1060,373,2960,13180,1410,121887,590024988,1348751,9743412,1963391,829,784,49460,42404,vpn
1144,300628,982,262,2960,17560,1790,134194,590025825,852405,10889956,1593532,734,743,45780,39284,vpn
3714,1241094,3135,334,2960,27780,1689,150594,590026288,3782502,26100729,4926714,2650,2285,148580,125404,vpn
1652,523346,1389,316,2960,13180,1440,172953,590025766,1291972,16452327,2467922,1136,1019,66100,55564,vpn
962,299750,810,311,2960,13180,1208,160426,590025819,1002282,7706467,1614392,650,557,38500,32404,vpn
1228,428126,1083,348,2084,13180,1418,128341,590025722,1040613,9696809,1755818,898,777,49140,43324,vpn
44,7806,36,177,1500,1500,307,262822,590024303,399921,1160828,373473,26,16,1780,1444,vpn
561,133704,511,238,1500,13180,1517,161417,590025164,766107,6405244,1360231,398,356,22460,20444,vpn
1554,422178,1354,271,1500,16100,2394,151412,590024551,1498857,26721626,3464282,1059,1046,62180,54164,vpn
2133,603460,1712,282,2124,13180,1408,157470,590026205,2150794,17001420,3120311,1427,1342,85340,68484,vpn
3733,1054842,3632,282,3872,40920,3511,106238,590024468,1184015,10807951,1623340,2439,2841,149340,145284,vpn
413,117128,376,283,2536,8800,1040,166566,590027561,1043926,6772765,1438886,299,260,16540,15044,vpn
2930,793932,2689,270,2960,21940,2781,132329,590021751,1838107,11586574,2270208,1968,2241,117220,107564,vpn
1373,452150,1120,329,2960,8800,1259,141606,590026625,1217930,9108905,1999639,932,807,54940,44804,vpn
1243,446854,1066,359,1500,8800,1427,144512,590025077,1335138,8112400,1769670,906,723,49740,42644,vpn
954,264956,795,277,1500,11720,1163,161951,590026441,1553484,8812660,1582647,663,562,38180,31804,vpn
604,140886,526,233,1500,14640,1692,147553,590026639,728757,5043728,957729,389,359,24180,21044,vpn
1203,343334,1012,285,1500,10260,1215,168783,590026497,1276499,8535027,1725688,860,725,48140,40484,vpn
5,388,5,77,96,44,1,746510,7611304,407482,1082976,589028,3,0,220,204,vpn
379,71302,337,188,1500,21940,2049,161992,590026669,417587,4981398,724965,250,226,15180,13484,vpn
174,40660,161,233,1500,10260,1265,164819,590030197,780751,2497759,889854,114,112,6980,6444,vpn
786,249262,706,317,1500,16100,1677,130496,590025275,989933,14102759,2180640,527,531,31460,28244,vpn
1480,523460,1278,353,1500,14640,1725,133356,590025810,1711566,16730576,2780343,1059,914,59220,51124,vpn
1104,384598,929,348,2960,11720,1233,146904,590026705,974638,9188788,1418232,755,626,44180,37164,vpn
1199,342434,1018,285,1500,7340,1049,175449,590005830,1448718,8523484,1983202,863,700,47980,40724,vpn
