Version,Protocol,TTL,SrcAddr,DestAddr,SrcPort,DestPort,SeqNum,AckNum,Flag,dataSize,Service,Label
4,6,255,62.149.140.114,10.0.2.4,80,41960,3675876,4282945304,SYN-ACK,0,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3675877,4282945605,ACK,0,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3675877,4282945605,PSH-ACK,1460,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3677337,4282945605,ACK,1460,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3678797,4282945605,ACK,2920,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3681717,4282945605,PSH-ACK,1424,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3683141,4282945949,PSH-ACK,7300,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3690441,4282945949,PSH-ACK,7300,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3697741,4282945949,PSH-ACK,8760,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3706501,4282945949,PSH-ACK,8760,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3715261,4282945949,ACK,2920,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3718181,4282945949,PSH-ACK,605,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3718786,4282946263,PSH-ACK,13140,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3731926,4282946263,ACK,4380,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3736306,4282946263,PSH-ACK,2920,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3739226,4282946263,PSH-ACK,14600,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3753826,4282946263,PSH-ACK,8760,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3762586,4282946263,PSH-ACK,13140,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3775726,4282946263,PSH-ACK,1460,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3777186,4282946263,PSH-ACK,4380,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3781566,4282946263,PSH-ACK,5840,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3787406,4282946263,PSH-ACK,1460,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3788866,4282946263,PSH-ACK,2920,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3791786,4282946263,PSH-ACK,13140,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3804926,4282946263,PSH-ACK,4380,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3809306,4282946263,PSH-ACK,8760,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3818066,4282946263,PSH-ACK,4380,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3822446,4282946263,PSH-ACK,7300,HTTP,1
4,6,255,62.149.140.114,10.0.2.4,80,41960,3829746,4282946263,PSH-ACK,14600,HTTP,1
