Version,Protocol,TTL,SrcAddr,DestAddr,SrcPort,DestPort,SeqNum,AckNum,Flag,dataSize,Service,Label
4,6,255,195.154.126.106,10.0.2.4,80,48512,514878,2232820749,SYN-ACK,0,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48512,514879,2232821035,PSH-ACK,1460,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48512,516339,2232821035,ACK,1460,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48512,517799,2232821035,PSH-ACK,1460,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48512,519259,2232821035,PSH-ACK,1452,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48512,520711,2232821342,PSH-ACK,4380,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48512,525091,2232821342,PSH-ACK,5840,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48512,530931,2232821342,PSH-ACK,2920,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48512,533851,2232821342,PSH-ACK,1460,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48512,535311,2232821342,PSH-ACK,1460,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48512,536771,2232821342,PSH-ACK,1460,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48512,538231,2232821342,PSH-ACK,1460,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48512,539691,2232821342,PSH-ACK,1460,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48512,541151,2232821342,PSH-ACK,1460,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48512,542611,2232821342,PSH-ACK,5840,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48512,548451,2232821342,PSH-ACK,4380,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48512,552831,2232821342,PSH-ACK,2920,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48512,555751,2232821342,ACK,1460,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48512,557211,2232821342,PSH-ACK,184,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48512,557395,2232821845,ACK,0,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48512,557395,2232821845,PSH-ACK,310,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48512,557705,2232822378,PSH-ACK,310,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48512,558015,2232822999,ACK,0,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48512,558015,2232822999,FIN-ACK,0,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48722,785040,2053488503,SYN-ACK,0,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48722,785041,2053489239,ACK,0,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48722,785041,2053489239,PSH-ACK,395,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48722,785436,2053489859,ACK,0,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48722,785436,2053489859,PSH-ACK,333,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48722,785769,2053490465,ACK,0,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48722,785769,2053490465,ACK,5840,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48722,791609,2053490465,PSH-ACK,4380,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48722,795989,2053490465,PSH-ACK,731,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48724,787810,2378568575,SYN-ACK,0,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48726,790580,3317617227,SYN-ACK,0,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48728,793350,413331111,SYN-ACK,0,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48722,796720,2053491181,ACK,1460,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48722,798180,2053491181,PSH-ACK,1013,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48724,787811,2378569279,ACK,1460,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48724,789271,2378569279,PSH-ACK,1413,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48730,796120,1360475391,SYN-ACK,0,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48732,798890,1531700678,SYN-ACK,0,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48726,790581,3317618210,PSH-ACK,555,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48728,793351,413331778,PSH-ACK,1429,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48728,794780,413332833,ACK,0,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48726,791136,3317618953,ACK,0,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48730,796121,1360476132,ACK,0,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48732,798891,1531701413,ACK,0,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48724,790684,2378570012,ACK,0,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48722,799193,2053491930,ACK,0,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48724,790684,2378570012,ACK,2920,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48724,793604,2378570012,PSH-ACK,388,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48722,799193,2053491930,ACK,13140,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48722,812333,2053491930,PSH-ACK,1460,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48722,813793,2053491930,ACK,1460,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48722,815253,2053491930,PSH-ACK,1402,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48732,798891,1531701413,ACK,1460,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48732,800351,1531701413,PSH-ACK,145,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48730,796121,1360476132,ACK,2920,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48730,799041,1360476132,PSH-ACK,810,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48728,794780,413332833,PSH-ACK,1331,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48726,791136,3317618953,ACK,2920,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48726,794056,3317618953,PSH-ACK,782,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48724,793992,2378570755,ACK,2920,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48724,796912,2378570755,PSH-ACK,572,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48722,816655,2053492681,ACK,2920,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48722,819575,2053492681,PSH-ACK,1304,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48732,800496,1531702162,ACK,2920,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48732,803416,1531702162,PSH-ACK,624,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48730,799851,1360476877,ACK,2920,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48730,802771,1360476877,PSH-ACK,1291,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48726,794838,3317619678,PSH-ACK,369,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48728,796111,413333576,ACK,2920,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48728,799031,413333576,PSH-ACK,1321,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48724,797484,2378571508,ACK,8760,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48724,806244,2378571508,PSH-ACK,503,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48722,820879,2053493418,PSH-ACK,5840,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48722,826719,2053493418,PSH-ACK,11680,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48724,806747,2378572367,ACK,0,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48728,800352,413334377,ACK,0,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48726,795207,3317620411,ACK,0,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48730,804062,1360477602,ACK,0,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48732,804040,1531702925,ACK,0,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48722,838399,2053493418,ACK,7300,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48722,845699,2053493418,PSH-ACK,1124,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48732,804040,1531702925,ACK,8760,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48732,812800,1531702925,ACK,4380,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48732,817180,1531702925,PSH-ACK,534,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48730,804062,1360477602,ACK,8760,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48730,812822,1360477602,PSH-ACK,5840,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48726,795207,3317620411,ACK,1460,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48730,818662,1360477602,PSH-ACK,10220,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48730,828882,1360477602,PSH-ACK,5840,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48726,796667,3317620411,PSH-ACK,734,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48730,834722,1360477602,PSH-ACK,5840,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48730,840562,1360477602,PSH-ACK,14600,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48724,806747,2378572367,ACK,1460,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48730,855162,1360477602,PSH-ACK,5840,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48730,861002,1360477602,ACK,4380,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48730,865382,1360477602,PSH-ACK,1264,HTTP,1
4,6,255,195.154.126.106,10.0.2.4,80,48728,800352,413334377,ACK,8760,HTTP,1
