Version,Protocol,TTL,SrcAddr,DestAddr,SrcPort,DestPort,SeqNum,AckNum,Flag,dataSize,Service,Label
4,6,255,162.220.59.66,10.0.2.4,80,47402,31805,4013419833,SYN-ACK,0,HTTP,1
4,6,255,162.220.59.66,10.0.2.4,80,47402,31806,4013420128,ACK,2920,HTTP,1
4,6,255,162.220.59.66,10.0.2.4,80,47402,34726,4013420128,PSH-ACK,250,HTTP,1
4,6,255,162.220.59.66,10.0.2.4,80,47402,34976,4013420128,PSH-ACK,20,HTTP,1
4,6,255,162.220.59.66,10.0.2.4,80,47402,34996,4013420467,ACK,0,HTTP,1
4,6,255,162.220.59.66,10.0.2.4,80,47406,32301,615594042,SYN-ACK,0,HTTP,1
4,6,255,162.220.59.66,10.0.2.4,80,47408,32549,3971562783,SYN-ACK,0,HTTP,1
4,6,255,162.220.59.66,10.0.2.4,80,47402,34996,4013420467,PSH-ACK,827,HTTP,1
4,6,255,162.220.59.66,10.0.2.4,80,47408,32550,3971563102,PSH-ACK,884,HTTP,1
4,6,255,162.220.59.66,10.0.2.4,80,47406,32302,615594355,PSH-ACK,2920,HTTP,1
4,6,255,162.220.59.66,10.0.2.4,80,47406,35222,615594355,PSH-ACK,4380,HTTP,1
4,6,255,162.220.59.66,10.0.2.4,80,47406,39602,615594355,ACK,2920,HTTP,1
4,6,255,162.220.59.66,10.0.2.4,80,47406,42522,615594355,PSH-ACK,1290,HTTP,1
4,6,255,162.220.59.66,10.0.2.4,80,47402,35823,4013420849,ACK,0,HTTP,1
4,6,255,162.220.59.66,10.0.2.4,80,47402,35823,4013420849,PSH-ACK,962,HTTP,1
4,6,255,162.220.59.66,10.0.2.4,80,47420,34037,929033420,SYN-ACK,0,HTTP,1
4,6,255,162.220.59.66,10.0.2.4,80,47422,34285,1796889389,SYN-ACK,0,HTTP,1
4,6,255,162.220.59.66,10.0.2.4,80,47424,34533,2803351773,SYN-ACK,0,HTTP,1
4,6,255,162.220.59.66,10.0.2.4,80,47428,35029,445942214,SYN-ACK,0,HTTP,1
