Version,Protocol,TTL,SrcAddr,DestAddr,SrcPort,DestPort,SeqNum,AckNum,Flag,dataSize,Service,Label
4,6,255,77.222.61.14,10.0.2.4,80,41750,8790251,3117271256,SYN-ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8790252,3117271549,ACK,2920,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8793172,3117271549,PSH-ACK,422,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8793594,3117271870,PSH-ACK,4380,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8797974,3117271870,PSH-ACK,1460,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8799434,3117271870,PSH-ACK,2920,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8802354,3117271870,PSH-ACK,1460,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8803814,3117271870,PSH-ACK,1460,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8805274,3117271870,PSH-ACK,766,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8806040,3117272182,PSH-ACK,987,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8807027,3117272524,PSH-ACK,987,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8808014,3117272961,ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8808014,3117272961,PSH-ACK,369,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8808383,3117273384,ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8808383,3117273384,PSH-ACK,4380,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8812763,3117273384,PSH-ACK,1460,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8814223,3117273384,ACK,2920,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8817143,3117273384,PSH-ACK,664,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8817807,3117273914,ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41770,8920444,1648266676,SYN-ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41772,8963846,3358859350,SYN-ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41774,9007248,2287237070,SYN-ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8817807,3117273914,ACK,1460,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8819267,3117273914,PSH-ACK,888,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41774,9007249,2287237545,ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41772,8963847,3358860127,ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41770,8920445,1648267198,ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41774,9007249,2287237545,ACK,1460,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41774,9008709,2287237545,PSH-ACK,11,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41770,8920445,1648267198,ACK,1460,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41770,8921905,1648267198,PSH-ACK,1225,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41778,9094054,817854511,SYN-ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41776,9050651,1440673813,SYN-ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41776,9050652,1440674482,ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41778,9094055,817855064,ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41770,8923130,1648267749,ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41774,9008720,2287238094,ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8820155,3117274479,ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41772,8963847,3358860127,PSH-ACK,585,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41772,8964432,3358860788,ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41774,9008720,2287238094,ACK,2920,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41774,9011640,2287238094,PSH-ACK,431,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8820155,3117274479,PSH-ACK,1460,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8821615,3117274479,PSH-ACK,1460,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8823075,3117274479,PSH-ACK,1460,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8824535,3117274479,PSH-ACK,1460,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8825995,3117274479,PSH-ACK,1460,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8827455,3117274479,PSH-ACK,1460,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8828915,3117274479,PSH-ACK,1460,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8830375,3117274479,PSH-ACK,1460,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8831835,3117274479,ACK,4380,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8836215,3117274479,PSH-ACK,1445,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8837660,3117275144,ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41774,9012071,2287238765,ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41774,9012071,2287238765,PSH-ACK,1460,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41774,9013531,2287238765,PSH-ACK,5840,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41774,9019371,2287238765,PSH-ACK,1460,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41774,9020831,2287238765,PSH-ACK,1460,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41774,9022291,2287238765,PSH-ACK,2920,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41774,9025211,2287238765,PSH-ACK,1460,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41774,9026671,2287238765,ACK,1460,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41774,9028131,2287238765,PSH-ACK,867,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41776,9050652,1440674482,ACK,1460,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41776,9052112,1440674482,PSH-ACK,395,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41776,9052507,1440675125,ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41774,9028998,2287239422,ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41774,9028998,2287239422,ACK,4380,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41774,9033378,2287239422,PSH-ACK,603,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41770,8923130,1648267749,ACK,1460,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41770,8924590,1648267749,PSH-ACK,188,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41770,8924778,1648268614,ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41774,9033981,2287240091,ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41772,8964432,3358860788,PSH-ACK,709,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41778,9094055,817855064,PSH-ACK,1460,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41778,9095515,817855064,ACK,1460,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41778,9096975,817855064,PSH-ACK,853,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41778,9097828,817855621,ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41772,8965141,3358861347,ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41772,8965141,3358861347,PSH-ACK,2920,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41772,8968061,3358861347,PSH-ACK,825,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41770,8924778,1648268614,PSH-ACK,1362,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41774,9033981,2287240091,PSH-ACK,560,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41774,9034541,2287240652,ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41770,8926140,1648269175,ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41772,8968886,3358861910,ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41776,9052507,1440675125,ACK,5840,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41776,9058347,1440675125,ACK,4380,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41776,9062727,1440675125,PSH-ACK,540,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41778,9097828,817855621,ACK,2920,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41778,9100748,817855621,PSH-ACK,615,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41778,9101363,817856162,ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41776,9063267,1440675680,ACK,0,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41750,8837660,3117275144,PSH-ACK,736,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41774,9034541,2287240652,ACK,2920,HTTP,1
4,6,255,77.222.61.14,10.0.2.4,80,41774,9037461,2287240652,PSH-ACK,1334,HTTP,1
