Version,Protocol,TTL,SrcAddr,DestAddr,SrcPort,DestPort,SeqNum,AckNum,Flag,dataSize,Service,Label
4,6,255,192.195.77.44,10.0.2.4,80,49612,6762840,361541671,SYN-ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6762841,361541968,ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6762841,361541968,ACK,2920,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6765761,361541968,PSH-ACK,409,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6766170,361542303,ACK,5840,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6772010,361542303,ACK,5840,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6777850,361542303,PSH-ACK,1276,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6779126,361542623,ACK,10220,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6789346,361542623,ACK,1460,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6790806,361542623,PSH-ACK,101,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6790907,361543074,PSH-ACK,629,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6791536,361543526,ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6791536,361543526,PSH-ACK,385,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6791921,361543963,PSH-ACK,597,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6792518,361544401,ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6792518,361544401,PSH-ACK,2920,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6795438,361544401,PSH-ACK,2920,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6798358,361544401,ACK,4380,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6802738,361544401,PSH-ACK,368,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49632,6890982,3547247708,SYN-ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6803106,361544970,PSH-ACK,701,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6803807,361545798,ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49632,6890983,3547248279,ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49634,6933701,2859668060,SYN-ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49636,6976420,2745117201,SYN-ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49632,6890983,3547248279,PSH-ACK,705,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49638,7019139,3610501277,SYN-ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6803807,361545798,PSH-ACK,1133,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49634,6933702,2859668569,PSH-ACK,685,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49640,7061859,1714334961,SYN-ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49632,6891688,3547248883,PSH-ACK,741,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49632,6892429,3547249483,ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49640,7061860,1714335471,ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49634,6934387,2859669398,ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6804940,361546386,ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49638,7019140,3610501849,ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49636,6976421,2745117771,ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6804940,361546386,PSH-ACK,709,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49632,6892429,3547249483,PSH-ACK,733,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49632,6893162,3547250072,ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6805649,361546991,ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49636,6976421,2745117771,PSH-ACK,815,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49636,6977236,2745118372,ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49634,6934387,2859669398,PSH-ACK,622,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49634,6935009,2859670197,PSH-ACK,1165,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49634,6936174,2859670805,ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6805649,361546991,PSH-ACK,835,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49634,6936174,2859670805,PSH-ACK,749,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49634,6936923,2859671639,PSH-ACK,1205,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49638,7019140,3610501849,PSH-ACK,819,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49638,7019959,3610502684,ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49634,6938128,2859672248,ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6806484,361547791,ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49632,6893162,3547250072,PSH-ACK,819,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49632,6893981,3547250875,ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49632,6893981,3547250875,PSH-ACK,1173,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49640,7061860,1714335471,PSH-ACK,807,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49632,6895154,3547251693,PSH-ACK,1173,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49636,6977236,2745118372,PSH-ACK,835,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49636,6978071,2745119191,ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49632,6896327,3547252432,ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49640,7062667,1714336275,ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49632,6896327,3547252432,PSH-ACK,1149,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49638,7019959,3610502684,ACK,2920,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49638,7022879,3610502684,PSH-ACK,638,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6806484,361547791,ACK,2920,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6809404,361547791,PSH-ACK,613,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49634,6938128,2859672248,PSH-ACK,757,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49632,6897476,3547253266,PSH-ACK,1205,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49632,6898681,3547254108,ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49634,6938885,2859672856,ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6810017,361548393,ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49638,7023517,3610503424,ACK,0,HTTP,1
4,6,255,192.195.77.44,10.0.2.4,80,49612,6810017,361548393,PSH-ACK,737,HTTP,1
