Version,Protocol,TTL,SrcAddr,DestAddr,SrcPort,DestPort,SeqNum,AckNum,Flag,dataSize,Service,Label
4,6,255,216.250.120.213,10.0.2.4,80,56536,678135,1399917502,SYN-ACK,0,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56536,678136,1399917799,ACK,0,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56536,678136,1399917799,PSH-ACK,1460,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56536,679596,1399917799,ACK,1460,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56536,681056,1399917799,PSH-ACK,323,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56536,681379,1399918140,ACK,0,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56536,681379,1399918140,PSH-ACK,5840,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56536,687219,1399918140,PSH-ACK,8760,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56536,695979,1399918140,ACK,10220,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56536,706199,1399918140,PSH-ACK,1460,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56536,707659,1399918140,ACK,10220,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56536,717879,1399918140,PSH-ACK,147,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56536,718026,1399918487,ACK,0,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56536,718026,1399918487,PSH-ACK,822,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56536,718848,1399918935,ACK,0,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56536,718848,1399918935,PSH-ACK,386,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56536,719234,1399919373,ACK,0,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56536,719234,1399919373,PSH-ACK,8760,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56536,727994,1399919373,ACK,1460,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56536,729454,1399919373,PSH-ACK,697,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56536,730151,1399919851,ACK,0,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56556,716163,4062297488,SYN-ACK,0,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56558,728843,623522667,SYN-ACK,0,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56564,766883,3352560084,SYN-ACK,0,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56562,754203,1701876166,SYN-ACK,0,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56560,741523,881913273,SYN-ACK,0,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56536,730151,1399919851,ACK,5840,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56536,735991,1399919851,PSH-ACK,1439,HTTP,1
4,6,255,216.250.120.213,10.0.2.4,80,56536,737430,1399919851,PSH-ACK,5,HTTP,1
