Version,Protocol,TTL,SrcAddr,DestAddr,SrcPort,DestPort,SeqNum,AckNum,Flag,dataSize,Service,Label
4,6,255,58.96.70.1,10.0.2.4,443,45412,16064,3947338221,SYN-ACK,0,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45412,16065,3947338412,ACK,0,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45414,16433,954709292,SYN-ACK,0,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45414,16434,954709483,ACK,0,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45412,16065,3947338412,PSH-ACK,1452,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45412,17517,3947338412,PSH-ACK,1452,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45414,16434,954709483,PSH-ACK,1452,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45414,17886,954709483,PSH-ACK,1452,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45412,18969,3947338412,PSH-ACK,1452,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45412,20421,3947338412,PSH-ACK,885,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45412,21306,3947338546,ACK,0,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45414,19338,954709483,PSH-ACK,1452,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45414,20790,954709483,PSH-ACK,885,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45412,21306,3947338546,PSH-ACK,59,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45412,21365,3947338924,ACK,0,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45414,21675,954709617,ACK,0,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45414,21675,954709617,PSH-ACK,59,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45412,21365,3947338924,PSH-ACK,37,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45412,21402,3947339153,ACK,0,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45412,21402,3947339153,PSH-ACK,1452,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45412,22854,3947339153,PSH-ACK,1460,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45412,24314,3947339153,PSH-ACK,1444,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45412,25758,3947339153,PSH-ACK,1460,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45412,27218,3947339153,PSH-ACK,1085,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45412,28303,3947339360,ACK,0,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45412,28303,3947339360,PSH-ACK,90,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45412,28393,3947339360,PSH-ACK,1460,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45412,29853,3947339360,PSH-ACK,1444,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45412,31297,3947339360,PSH-ACK,1452,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45412,32749,3947339360,PSH-ACK,1452,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45412,34201,3947339360,PSH-ACK,1452,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45412,35653,3947339360,PSH-ACK,1452,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45412,37105,3947339360,PSH-ACK,1452,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45412,38557,3947339360,PSH-ACK,1452,HTTPS,1
4,6,255,58.96.70.1,10.0.2.4,443,45412,40009,3947339360,PSH-ACK,309,HTTPS,1
