Version,Protocol,TTL,SrcAddr,DestAddr,SrcPort,DestPort,SeqNum,AckNum,Flag,dataSize,Service,Label
4,6,255,54.69.17.198,10.0.2.4,443,47234,9994,3622680036,ACK,0,HTTPS,1
4,6,255,54.69.9.44,10.0.2.4,443,50210,11017,1143613426,ACK,0,HTTPS,1
4,6,255,54.69.9.44,10.0.2.4,443,50212,12220,851673163,ACK,0,HTTPS,1
4,6,255,216.58.214.14,10.0.2.4,80,39718,7257,4227837549,ACK,0,HTTP,1
4,6,255,54.69.17.198,10.0.2.4,443,47234,9994,3622680036,ACK,0,HTTPS,1
4,6,255,54.69.9.44,10.0.2.4,443,50210,11017,1143613426,ACK,0,HTTPS,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,6602,2697827714,SYN-ACK,0,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,6603,2697827924,PSH-ACK,211,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,6814,2697828143,ACK,0,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,6814,2697828143,ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,11194,2697828143,ACK,5840,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,17034,2697828143,PSH-ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,21414,2697828143,ACK,8760,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,30174,2697828143,PSH-ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,34554,2697828143,PSH-ACK,1460,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,36014,2697828143,ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,40394,2697828143,PSH-ACK,5840,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,46234,2697828143,PSH-ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,50614,2697828143,PSH-ACK,8760,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,59374,2697828143,PSH-ACK,7300,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,66674,2697828143,PSH-ACK,5840,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,72514,2697828143,PSH-ACK,13140,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,85654,2697828143,PSH-ACK,14600,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,100254,2697828143,PSH-ACK,1309,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,101563,2697828361,PSH-ACK,1460,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,103023,2697828361,PSH-ACK,11680,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,114703,2697828361,ACK,11680,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,126383,2697828361,PSH-ACK,1460,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,127843,2697828361,PSH-ACK,16060,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,143903,2697828361,PSH-ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,148283,2697828361,ACK,5840,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,154123,2697828361,PSH-ACK,7300,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,161423,2697828361,ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,165803,2697828361,PSH-ACK,16,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,165819,2697828361,PSH-ACK,14600,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,180419,2697828361,ACK,14600,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,195019,2697828361,ACK,1460,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,196479,2697828361,PSH-ACK,1029,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,197508,2697828618,PSH-ACK,16060,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,213568,2697828618,PSH-ACK,8760,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,222328,2697828618,PSH-ACK,14600,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,236928,2697828618,PSH-ACK,14600,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,251528,2697828618,ACK,10220,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,261748,2697828618,PSH-ACK,1296,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,263044,2697828618,PSH-ACK,14600,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,277644,2697828618,PSH-ACK,7300,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,284944,2697828618,ACK,7300,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,292244,2697828618,PSH-ACK,13140,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,305384,2697828618,PSH-ACK,8760,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,314144,2697828618,ACK,7300,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,321444,2697828618,PSH-ACK,5840,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,327284,2697828618,PSH-ACK,1296,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,328580,2697828618,PSH-ACK,1460,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,330040,2697828618,PSH-ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,334420,2697828618,ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,338800,2697828618,PSH-ACK,329,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,339129,2697829623,ACK,0,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,339129,2697829623,PSH-ACK,5840,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,344969,2697829623,PSH-ACK,7300,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,352269,2697829623,PSH-ACK,2920,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,355189,2697829623,PSH-ACK,18980,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,374169,2697829623,ACK,1460,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,375629,2697829623,PSH-ACK,2920,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,378549,2697829623,PSH-ACK,8760,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,387309,2697829623,PSH-ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,391689,2697829623,ACK,14600,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,406289,2697829623,ACK,2920,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,409209,2697829623,PSH-ACK,1460,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,410669,2697829623,PSH-ACK,11680,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,422349,2697829623,PSH-ACK,2920,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,425269,2697829623,ACK,14600,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,439869,2697829623,PSH-ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,444249,2697829623,ACK,8760,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,453009,2697829623,PSH-ACK,2920,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,455929,2697829623,PSH-ACK,13140,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,469069,2697829623,PSH-ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,473449,2697829623,PSH-ACK,10220,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,483669,2697829623,PSH-ACK,13140,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,496809,2697829623,PSH-ACK,1460,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,498269,2697829623,PSH-ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,502649,2697829623,PSH-ACK,8760,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,511409,2697829623,PSH-ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,515789,2697829623,PSH-ACK,7300,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,523089,2697829623,PSH-ACK,5840,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,528929,2697829623,PSH-ACK,5840,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,534769,2697829623,PSH-ACK,10220,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,544989,2697829623,ACK,1460,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,546449,2697829623,PSH-ACK,16060,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,562509,2697829623,ACK,14600,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,577109,2697829623,PSH-ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,581489,2697829623,ACK,26280,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,607769,2697829623,PSH-ACK,1460,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,609229,2697829623,PSH-ACK,14600,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,623829,2697829623,PSH-ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,628209,2697829623,ACK,10220,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,638429,2697829623,PSH-ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,642809,2697829623,PSH-ACK,11680,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,654489,2697829623,PSH-ACK,16060,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,670549,2697829623,PSH-ACK,2920,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,673469,2697829623,ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,677849,2697829623,PSH-ACK,911,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,678760,2697829879,PSH-ACK,14600,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,693360,2697829879,PSH-ACK,5840,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,699200,2697829879,ACK,11680,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,710880,2697829879,PSH-ACK,1460,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,712340,2697829879,PSH-ACK,13140,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,725480,2697829879,PSH-ACK,8760,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,734240,2697829879,PSH-ACK,7300,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,741540,2697829879,PSH-ACK,10220,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,751760,2697829879,PSH-ACK,5840,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,757600,2697829879,PSH-ACK,8760,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,766360,2697829879,PSH-ACK,5840,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,772200,2697829879,ACK,17520,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,789720,2697829879,PSH-ACK,1460,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,791180,2697829879,ACK,7300,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,798480,2697829879,PSH-ACK,5840,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,804320,2697829879,PSH-ACK,8760,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,813080,2697829879,ACK,17520,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,830600,2697829879,PSH-ACK,1460,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,832060,2697829879,PSH-ACK,13140,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,845200,2697829879,PSH-ACK,5840,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,851040,2697829879,PSH-ACK,8760,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,859800,2697829879,PSH-ACK,18980,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,878780,2697829879,ACK,1460,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,880240,2697829879,PSH-ACK,11680,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,891920,2697829879,ACK,1460,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,893380,2697829879,PSH-ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,897760,2697829879,PSH-ACK,8760,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,906520,2697829879,PSH-ACK,18980,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,925500,2697829879,ACK,1460,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,926960,2697829879,PSH-ACK,13140,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,940100,2697829879,PSH-ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,944480,2697829879,PSH-ACK,8760,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,953240,2697829879,PSH-ACK,18980,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,972220,2697829879,ACK,1460,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,973680,2697829879,PSH-ACK,13140,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,986820,2697829879,PSH-ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,991200,2697829879,PSH-ACK,8760,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,999960,2697829879,ACK,10220,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1010180,2697829879,PSH-ACK,8760,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1018940,2697829879,PSH-ACK,1460,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1020400,2697829879,ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1024780,2697829879,PSH-ACK,8760,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1033540,2697829879,PSH-ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1037920,2697829879,PSH-ACK,18980,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1056900,2697829879,ACK,1460,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1058360,2697829879,ACK,7300,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1065660,2697829879,PSH-ACK,773,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1066433,2697830382,PSH-ACK,16060,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1082493,2697830382,PSH-ACK,5840,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1088333,2697830382,PSH-ACK,5840,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1094173,2697830382,PSH-ACK,2920,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1097093,2697830382,PSH-ACK,13140,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1110233,2697830382,PSH-ACK,7300,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1117533,2697830382,PSH-ACK,11680,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1129213,2697830382,PSH-ACK,14600,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1143813,2697830382,PSH-ACK,13140,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1156953,2697830382,ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1161333,2697830382,PSH-ACK,1460,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1162793,2697830382,PSH-ACK,27740,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1190533,2697830382,ACK,5840,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1196373,2697830382,PSH-ACK,7300,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1203673,2697830382,PSH-ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1208053,2697830382,ACK,23360,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1231413,2697830382,PSH-ACK,5840,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1237253,2697830382,PSH-ACK,5840,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1243093,2697830382,PSH-ACK,7300,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1250393,2697830382,PSH-ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1254773,2697830382,PSH-ACK,7300,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1262073,2697830382,PSH-ACK,16060,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1278133,2697830382,PSH-ACK,5840,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1283973,2697830382,PSH-ACK,5840,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1289813,2697830382,ACK,1460,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1291273,2697830382,PSH-ACK,5840,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1297113,2697830382,PSH-ACK,11680,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1308793,2697830382,PSH-ACK,5840,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1314633,2697830382,PSH-ACK,14600,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1329233,2697830382,PSH-ACK,14600,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1343833,2697830382,PSH-ACK,14600,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1358433,2697830382,PSH-ACK,14600,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1373033,2697830382,ACK,20440,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1393473,2697830382,PSH-ACK,8760,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1402233,2697830382,PSH-ACK,2920,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1405153,2697830382,PSH-ACK,14600,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1419753,2697830382,PSH-ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1424133,2697830382,ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1428513,2697830382,ACK,8760,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1437273,2697830382,PSH-ACK,2920,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1440193,2697830382,PSH-ACK,8760,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1448953,2697830382,PSH-ACK,18980,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1467933,2697830382,ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1472313,2697830382,PSH-ACK,11680,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1483993,2697830382,PSH-ACK,18980,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1502973,2697830382,ACK,4380,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1507353,2697830382,PSH-ACK,11680,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1519033,2697830382,ACK,1460,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1520493,2697830382,PSH-ACK,10220,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1530713,2697830382,PSH-ACK,18980,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1549693,2697830382,ACK,7300,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1556993,2697830382,PSH-ACK,10220,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1567213,2697830382,PSH-ACK,10220,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1577433,2697830382,PSH-ACK,8760,HTTP,1
4,6,255,91.189.88.152,10.0.2.4,80,43316,1586193,2697830382,ACK,7300,HTTP,1
