Version,Protocol,TTL,SrcAddr,DestAddr,SrcPort,DestPort,SeqNum,AckNum,Flag,dataSize,Service,Label
4,6,255,172.217.23.46,10.0.2.4,80,33412,7535,2795370786,ACK,0,HTTP,1
4,6,255,54.68.114.20,10.0.2.4,443,57116,10413,3978830956,ACK,0,HTTPS,1
4,6,255,54.68.156.207,10.0.2.4,443,55438,11504,1994341583,ACK,0,HTTPS,1
4,6,255,54.230.0.182,10.0.2.4,443,48582,67273,3309288924,ACK,0,HTTPS,1
4,6,255,54.68.156.207,10.0.2.4,443,55442,12948,452722413,ACK,0,HTTPS,1
4,6,255,52.42.26.69,10.0.2.4,443,60176,10080,1458610471,ACK,0,HTTPS,1
4,6,255,172.217.23.46,10.0.2.4,80,33412,7535,2795370786,ACK,0,HTTP,1
4,6,255,54.68.114.20,10.0.2.4,443,57116,10413,3978830956,ACK,0,HTTPS,1
4,6,255,54.68.156.207,10.0.2.4,443,55438,11504,1994341583,ACK,0,HTTPS,1
4,6,255,54.230.0.182,10.0.2.4,443,48582,67273,3309288924,ACK,0,HTTPS,1
