@relation <netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement-V-weka.filters.supervised.instance.Resample-B0.0-S1-Z50.0-no-replacement

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
1845,560620,1585,1118520,40,303,1500,366,40,705,11720,1260,15,72483,1157175,152074,4,86047,1218019,156490,590025966,30615,1418127,12408009,2026238,1003576,4910988,58158089,6585370,19,5964,16,11899,1339,1160,0,0,73820,63404,vpn
197,11561,183,32153,40,58,1376,113,40,175,1284,153,36,48534,805445,101314,21,51873,805437,105675,24261867,785503,2341776,5545825,2189790,1394812,4964920,11761875,5888837,49,2890,45,8038,24,175,0,0,7900,7324,vpn
1198,372628,1000,718101,40,311,2960,389,40,718,13180,1486,16,60711,975166,131680,4,76004,1149843,137898,590025069,27216,1407016,9456058,1677341,1051628,9912561,46877772,11915882,22,7030,18,13549,838,734,0,0,47940,40004,vpn
1104,351560,959,651656,40,318,2960,405,40,679,13180,1295,9,74075,1003792,160574,5,86532,1161240,166481,590024289,26670,1199092,9942487,1966363,1092624,7589343,57678155,9443431,16,5170,14,9583,774,660,0,0,44180,38364,vpn
39,7186,31,6632,40,184,1500,292,40,213,1500,325,65,118692,973527,241001,460,171957,1155002,323388,590025053,22,354739,1276270,426319,1065528,53251652,538685708,161024635,3,598,2,552,23,16,0,0,1580,1244,vpn
489,125542,442,262333,40,256,1500,310,40,593,7340,1065,24,80571,972794,172216,3,95010,979137,153738,590025127,27609,1037005,8370233,1582277,1089060,14462681,88263025,18599034,12,3219,11,6726,360,297,0,0,19580,17684,vpn
1452,422946,1239,761208,40,291,1614,377,40,614,14640,1269,10,76610,1128473,157464,4,91588,1059716,160809,590025292,15,1262908,8174233,1573272,1003996,5583165,53113706,7296879,16,4861,14,8749,1008,892,0,0,58100,49564,vpn
930,267302,782,380249,40,287,1500,361,40,486,8800,967,22,78405,973992,154762,2,95943,1045581,165898,590025998,23,1457805,5829121,1511124,1062865,10553790,88608743,17805573,18,5346,15,7604,652,546,0,0,37220,31284,vpn
3547,1109428,3466,16020183,40,312,2416,342,40,4622,40920,4316,8,19383,1130383,92287,1,20106,1007679,90650,590025797,31,1322959,8925703,1982312,1063456,9784641,108416054,17996755,65,20544,64,296670,2422,3085,0,0,141900,138644,vpn
675,132690,613,1029233,40,196,1500,233,40,1679,14640,2449,8,48684,1149209,121611,4,53484,996378,123871,590025380,13121,571396,4805816,978778,1131016,9769901,92952763,16651587,11,2287,10,17745,454,485,0,0,27020,24524,vpn
1061,303504,909,567519,40,286,2960,374,40,624,13180,1195,10,86725,1032737,185320,4,103913,1179413,182121,590027686,29535,1725220,13060030,2554283,1057905,9588288,81920188,13371262,20,5726,17,10707,760,637,0,0,42460,36364,vpn
203,50528,177,132077,40,248,1500,322,40,746,8800,1417,19,71471,972868,156096,24,87492,1111572,154528,590024666,26911,795254,2603001,694379,1089886,31939713,151710277,43885277,10,2659,9,6951,138,120,0,0,8140,7084,vpn
2639,829134,2466,7268550,40,314,2960,399,40,2947,29240,3773,6,34261,1218239,101583,1,36990,1199519,101217,590025772,22,1160698,9473401,1623893,1021195,6388853,47231711,8773503,33,10495,31,92006,1646,2048,0,0,105580,98644,vpn
1360,379252,1171,766177,40,278,1500,353,40,654,13180,1307,17,75235,1118541,149704,10,88127,1099173,155132,590028199,18364,1219230,7634180,1467269,1046712,5961366,64990742,8617340,16,4569,14,9231,966,852,0,0,54420,46844,vpn
1634,521554,1321,846460,40,319,1500,406,40,640,10260,1189,12,63436,1042055,130108,4,79815,989461,140748,590024867,16108,1147094,16505251,2262167,1016891,5544698,80710208,8907029,18,5860,14,9510,1091,973,0,0,65380,52844,vpn
41,7764,34,6688,40,189,1500,284,40,196,1500,313,65,117061,972818,220757,427,149842,976838,227459,590026346,27492,352372,1102712,358802,1048431,53254352,539390989,161258347,3,647,2,557,26,16,0,0,1660,1364,vpn
1239,381990,1032,708255,40,308,2960,409,40,686,17560,1485,15,78638,1054925,145200,2,93934,1135182,158188,590025052,23,1230719,8739829,1755469,1008743,6516574,74271502,9328058,16,4960,13,9198,840,733,0,0,49580,41284,vpn
1668,340660,1488,3038533,40,204,1500,258,40,2042,20480,2892,9,61276,1141114,144751,1,70307,1064867,159022,550910980,10844,888655,4123120,929402,1004201,3978798,9078768,2793357,14,2988,13,26653,1028,1196,0,0,66740,59524,vpn
580,148700,482,303712,40,256,1500,324,40,630,8800,1228,23,99008,1136931,191822,5,121230,1104818,205450,435860087,38397,1710598,4799744,1315817,1050456,11856572,105949552,21868966,17,4506,14,9203,412,357,0,0,23220,19284,vpn
