@relation <netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
1749,542080,1485,1132059,40,309,1500,373,40,762,14640,1428,15,80970,1174676,155824,4,97721,1101906,168788,590026076,31,2001612,10813140,2292809,1009642,6398736,133911875,16264532,24,7634,20,15944,1258,1030,0,0,69980,59404,vpn
1236,432992,1056,912283,40,350,2088,427,40,863,14640,1523,19,59244,999259,123430,3,70666,1012172,137248,590027009,28177,1269565,8678160,1608740,1005078,9059512,90919823,15966511,21,7465,18,15729,852,790,0,0,49460,42244,vpn
417,116658,390,132905,40,279,1614,370,40,340,5880,783,24,130069,1043093,212308,3,144302,1218651,196133,590028389,13552,1480960,14729858,2787490,1079360,15334680,202850108,37614015,11,3240,10,3691,312,208,0,0,16700,15604,vpn
1443,399158,1195,852064,40,276,2960,361,40,713,10260,1376,13,69953,974818,141266,10,84774,1202535,144719,590024508,23,1007428,15902186,2039312,1019719,5064912,74244516,8104402,14,4073,12,8694,987,896,0,0,57740,47804,vpn
1155,529380,1008,955554,40,458,4420,558,40,947,19020,1509,13,43103,977361,129390,1,52913,1108375,130592,590024184,26795,1232906,8858923,1849998,1050557,12785933,274411665,41604256,26,12311,23,22222,790,692,0,0,46220,40324,vpn
2189,662218,1797,1244058,40,302,2960,403,40,692,14640,1382,10,92280,1086614,170325,2,112336,1157567,191946,590024587,26736,1734616,22461685,3161816,1016112,3517972,47272206,4899123,19,5860,15,11009,1491,1233,0,0,87580,71884,vpn
1158,321382,974,517233,40,277,1500,350,40,531,16100,1157,29,84173,1127975,167124,8,102522,1179903,180135,590024837,26563,1349403,7776307,1576463,1013305,6941800,36883238,7812351,16,4463,13,7183,820,683,0,0,46340,38964,vpn
15642,6808980,14591,66487353,40,435,7466,555,40,4556,43840,4565,5,5706,1001056,36896,1,6271,1142441,39612,590025992,22,1092087,15054907,2148677,1040556,5677267,76124864,8759133,177,77374,165,755538,8199,12157,0,0,625700,583644,vpn
516,164634,444,411885,40,319,1500,389,40,927,14640,1893,10,47085,973480,107956,3,59028,1175822,119755,590024726,22,717709,4805414,1024355,1053181,16119633,80213372,22809960,14,4573,12,11441,375,312,0,0,20660,17764,vpn
1340,407762,1133,819710,40,304,2960,397,40,723,14640,1403,10,74699,1115537,156388,2,91226,1024542,157323,590024653,28601,2057326,14580777,2758950,1048706,10191992,117686089,19051225,27,8321,23,16728,924,833,0,0,53620,45324,vpn
648,187434,533,230715,40,289,2960,438,40,432,10260,894,12,84897,1109132,141400,2,107203,1058210,152498,590024673,8727,857168,7741521,1135971,1003041,8645532,122815523,19963524,10,2975,8,3662,406,353,0,0,25940,21324,vpn
1996,526078,1707,1727093,40,263,1500,338,40,1011,24860,2022,9,77639,1219747,156430,2,89787,1039860,170745,590025219,8793,1257138,11406143,2349771,1014159,3732421,10021956,2649505,16,4420,14,14513,1361,1236,0,0,79860,68284,vpn
1239,381990,1032,708255,40,308,2960,409,40,686,17560,1485,15,78638,1054925,145200,2,93934,1135182,158188,590025052,23,1230719,8739829,1755469,1008743,6516574,74271502,9328058,16,4960,13,9198,840,733,0,0,49580,41284,vpn
1331,401694,1201,1316858,40,301,2932,372,40,1096,14640,1719,7,52960,1001327,134677,3,61403,1223471,131443,590028773,28238,1081651,9495793,1889273,1042248,7841789,49778286,11412059,19,5995,17,19654,945,900,0,0,53260,48044,vpn
