@relation <netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement-V-weka.filters.supervised.instance.Resample-B0.0-S1-Z50.0-no-replacement-V

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
1749,542080,1485,1132059,40,309,1500,373,40,762,14640,1428,15,80970,1174676,155824,4,97721,1101906,168788,590026076,31,2001612,10813140,2292809,1009642,6398736,133911875,16264532,24,7634,20,15944,1258,1030,0,0,69980,59404,vpn
40,7590,34,6688,40,189,1500,309,40,196,1500,313,175,102499,973371,234721,161,165035,1197905,276416,590024811,26794,355678,1225148,400961,1050455,53250606,539037487,161142324,3,632,2,557,24,17,0,0,1620,1364,vpn
417,116658,390,132905,40,279,1614,370,40,340,5880,783,24,130069,1043093,212308,3,144302,1218651,196133,590028389,13552,1480960,14729858,2787490,1079360,15334680,202850108,37614015,11,3240,10,3691,312,208,0,0,16700,15604,vpn
1191,380870,1069,1189191,40,319,1500,384,40,1112,14640,1772,12,46678,1080850,115073,5,55653,1218070,121751,590026586,42093,1032544,17852591,2476614,1057010,9485205,109468882,17772080,20,6681,18,20863,852,814,0,0,47660,42764,vpn
1909,456734,1729,3065172,40,239,1500,308,40,1772,16100,2683,7,47088,1078583,108183,2,51664,879134,110069,357025584,1044,1049044,7382498,1731876,1045721,3188771,7888712,1806701,22,5373,20,36060,1236,1366,0,0,76380,69164,vpn
681,134002,568,588919,40,196,1500,236,40,1036,14640,1885,13,86511,1127056,185908,1,110501,1011474,200313,783777084,20188,512134,6788379,843920,1136550,6673782,10032152,3286357,6,1218,5,5353,452,393,0,0,27260,22724,vpn
1158,321382,974,517233,40,277,1500,350,40,531,16100,1157,29,84173,1127975,167124,8,102522,1179903,180135,590024837,26563,1349403,7776307,1576463,1013305,6941800,36883238,7812351,16,4463,13,7183,820,683,0,0,46340,38964,vpn
930,284894,816,592787,40,306,1500,381,40,726,8800,1224,12,70220,972372,153667,3,81998,1211017,160738,590025429,27368,1147976,7595271,1548648,1003660,9367692,89203397,16799581,16,4998,14,10399,658,581,0,0,37220,32644,vpn
2159,744462,1837,1856511,40,344,2960,445,40,1010,17560,1775,10,61980,996517,142400,3,72640,1083327,149899,590024755,23755,1236735,9220979,2020956,1007659,4370768,32957780,3920552,20,7023,17,17514,1421,1359,0,0,86380,73484,vpn
1744,532132,1425,826910,40,305,2958,399,40,580,20480,1371,14,68455,1225172,139147,4,84229,1174224,145547,590025983,27490,1281252,14863648,2250405,1045021,5260355,43162099,5838073,19,5847,15,9086,1192,1028,0,0,69780,57004,vpn
40,7590,34,6752,40,189,1500,287,40,198,1500,313,47,105218,975034,234360,400,165636,1204869,275454,590029920,32283,366803,1231911,399873,1071335,53238934,538800548,161066973,3,632,2,562,25,16,0,0,1620,1364,vpn
109,28356,98,115474,40,260,1500,306,40,1178,11720,1970,12,50914,972656,130058,3,63052,1175544,148805,120354011,74152,525562,1834067,559168,1067296,10367933,67610104,19192454,9,2363,8,9622,79,71,0,0,4380,3924,vpn
15071,3880320,15630,77739700,40,257,2960,299,40,4973,46760,4057,5,6025,1130139,43855,1,5806,1004423,44113,526814926,19285,929397,12501859,1834702,1000749,4226342,10005347,2939360,146,37673,151,754754,9505,14409,0,0,602860,625204,vpn
888,246176,790,560184,40,277,1500,333,40,709,14640,1476,13,76282,1110375,179670,5,90921,989196,170123,590023947,19629,1023712,9810337,1816801,1056089,7900533,46774272,9437321,13,3674,11,8360,663,544,0,0,35540,31604,vpn
1186,366496,972,768421,40,309,1500,396,40,790,11720,1329,11,63836,975686,143501,3,79457,1056909,151911,590025773,27619,1398612,16374548,2677845,1042351,9707560,78442548,14855876,21,6786,18,14230,792,718,0,0,47460,38884,vpn
2375,757170,2031,1777449,40,318,2450,408,40,875,19020,1842,12,56312,1129029,116412,3,66452,1150546,122000,590026616,22206,1714645,27798486,3548014,1015706,5925769,58832245,8060084,30,9707,26,22787,1647,1536,0,0,95020,81244,vpn
43,8058,35,6728,40,187,1500,299,40,192,1500,310,148,112175,973812,224864,13,148440,976822,232592,590025566,1463,330978,1104916,372049,1044314,53277620,538860042,161074007,3,671,2,560,27,17,0,0,1740,1404,vpn
3421,1111048,3237,14041392,40,324,2592,374,40,4337,43840,4934,7,27270,1159535,96669,1,29103,1146399,96111,590025631,28813,1585773,9474058,1835378,1020287,8387783,78080381,15298394,57,18517,53,234023,2239,2751,0,0,136860,129484,vpn
1618,481394,1361,729579,40,297,1500,379,40,536,10260,1006,16,73224,971395,137553,12,88209,1094186,142196,590025889,27856,1240074,8361612,1858124,1019419,5090956,33068546,4993130,17,5121,14,7761,1152,960,0,0,64740,54444,vpn
941,274874,835,636391,40,292,2942,359,40,762,8800,1353,17,59184,972102,131771,13,71244,1123116,130144,590026614,28231,904799,9518773,1457284,1022351,8446340,46778986,8944656,14,4294,13,9943,667,587,0,0,37660,33404,vpn
549,125574,468,176073,40,228,1500,287,40,376,7340,750,56,92705,977276,170167,26,111143,1000051,171664,590025712,26907,934727,4039519,972117,1011634,10393945,58823912,15084235,10,2369,8,3322,381,324,0,0,21980,18724,vpn
1819,534936,1544,1046326,40,294,2720,378,40,677,10260,1270,10,71646,1010950,140544,3,83317,1035458,146729,590027687,29249,1320581,14015046,2331220,1032584,4876335,30092058,4715817,18,5572,16,10899,1260,1132,0,0,72780,61764,vpn
