@relation <netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
1260,386258,1055,757709,40,306,1694,379,40,718,10260,1392,9,77607,977479,162268,2,95043,1076236,171295,590030120,16912,1068368,18474079,2216276,1014310,5549179,110814867,12565865,14,4291,11,8418,883,761,0,0,50420,42204,vpn
1919,575844,1593,1430353,40,300,1500,380,40,897,29240,1969,12,77858,992795,158033,2,94899,1146634,171674,590026225,28156,1652594,11044037,2147145,1013645,5033469,34790142,4533128,21,6470,17,16071,1335,1194,0,0,76780,63724,vpn
1555,493218,1333,1090260,40,317,2960,410,40,817,14640,1381,13,64038,1078085,143779,2,76116,1180219,147187,590025973,24054,1496005,10272901,2080230,1013990,7421115,55727234,10203996,23,7361,19,16272,1063,989,0,0,62220,53324,vpn
39,7494,33,6584,40,192,1500,291,40,199,1500,317,69,119271,968750,221697,394,168054,1178219,260885,590026757,27752,409998,1212704,407608,1055405,58551677,543928422,170570516,3,681,3,598,24,16,0,0,1580,1324,vpn
39,7368,32,6672,40,188,1500,291,40,208,1500,321,63,158939,1185409,304575,440,212167,1175663,352517,590028473,27842,484143,2207665,644441,1055788,58470289,538905034,168829781,3,669,2,606,24,16,0,0,1580,1284,vpn
3657,1116210,3232,6465120,40,305,2590,379,40,2000,27780,3292,12,43028,1158319,106782,2,48928,1102124,115182,590025175,20,1818814,13439889,2659537,1010301,5020794,58710287,9063049,42,12830,37,74311,2562,2609,0,0,146300,129284,vpn
668,193074,540,260107,40,289,2960,434,40,481,10260,980,8,82591,972852,154060,2,104347,1131027,192850,590025159,21075,1032909,3549659,991157,1027710,10515958,293314661,41061733,12,3712,10,5002,405,388,0,0,26740,21604,vpn
711,214416,612,336624,40,301,2234,389,40,550,8800,1005,12,70549,1165369,142691,17,84554,1031306,150024,590024753,9797,907983,5701532,1208219,1054609,9611959,56106970,10719763,12,3761,10,5905,493,413,0,0,28460,24484,vpn
3069,956600,2676,2116409,40,311,1500,390,40,790,14640,1315,8,64863,1074594,141697,2,75651,1202694,149759,590028863,28768,1587865,7436702,1730792,1002608,3157626,10020165,2068888,24,7652,21,16931,2181,1972,0,0,122780,107044,vpn
867,262200,695,374599,40,302,2960,420,40,538,11720,1111,10,83915,1008150,160517,2,106742,1186341,180115,590024165,2971,1638825,9034555,2084852,1000435,12044554,223305092,33818439,19,5959,15,8513,569,509,0,0,34700,27804,vpn
1499,436808,1287,949988,40,291,1500,369,40,738,11720,1269,9,73800,1229829,151380,9,85382,1184976,156670,590026027,28139,1390501,8683993,1911325,1021752,6254115,57447208,11380218,19,5600,16,12179,1046,938,0,0,59980,51484,vpn
67,11872,57,13566,40,177,1500,255,40,238,2960,448,131,99637,972875,184641,375,123637,1033669,195267,590025933,3119,311162,1131208,343200,1062653,32450768,440048366,102029173,3,624,3,714,41,32,0,0,2700,2284,vpn
1236,461082,1060,1017368,40,373,2960,473,40,959,13180,1410,13,48408,972801,111249,1,55961,1019090,121887,590024988,17122,1348751,9743412,1963391,1009395,12341393,355692198,53726546,28,10479,24,23122,829,784,0,0,49460,42404,vpn
1144,300628,982,991669,40,262,2960,372,40,1009,17560,1790,11,68025,972870,121439,3,77563,1083875,134194,590025825,27249,852405,10889956,1593532,1008423,5919702,110084916,13258117,13,3416,11,11268,734,743,0,0,45780,39284,vpn
3714,1241094,3135,2744702,40,334,2960,416,40,875,27780,1689,11,67439,1052536,137795,9,80076,1162862,150594,590026288,20400,3782502,26100729,4926714,1019269,5236632,119533734,15413010,56,18804,47,41586,2650,2285,0,0,148580,125404,vpn
1652,523346,1389,1170599,40,316,2960,403,40,842,13180,1440,11,76443,1162235,163984,1,89389,1054105,172953,590025766,27650,1291972,16452327,2467922,1013720,4971152,63056817,9472938,17,5508,14,12322,1136,1019,0,0,66100,55564,vpn
962,299750,810,526252,40,311,2960,415,40,649,13180,1208,15,78080,991700,146450,9,93284,1083091,160426,590025819,39383,1002282,7706467,1614392,1114134,7178599,58198431,12190087,13,4106,11,7208,650,557,0,0,38500,32404,vpn
1228,428126,1083,878504,40,348,2084,415,40,811,13180,1418,10,54786,972021,124253,3,64974,1077058,128341,590025722,27739,1040613,9696809,1755818,1012774,7883402,114062963,16401361,18,6389,16,13112,898,777,0,0,49140,43324,vpn
44,7806,36,6832,40,177,1500,277,40,189,1500,307,61,111590,973256,211616,408,153946,1133650,262822,590024303,26583,399921,1160828,373473,1051350,53202295,539249114,161228579,3,650,3,569,26,16,0,0,1780,1444,vpn
561,133704,511,366374,40,238,1500,298,40,716,13180,1517,14,81891,973508,172004,3,92943,980279,161417,590025164,26918,766107,6405244,1360231,1052963,9393531,61329278,12083139,9,2266,8,6209,398,356,0,0,22460,20444,vpn
1554,422178,1354,1657261,40,271,1500,348,40,1223,16100,2394,9,66749,985792,136935,3,76325,1122112,151412,590024551,27177,1498857,26721626,3464282,1049400,7155932,134620783,17807099,22,6118,19,24018,1059,1046,0,0,62180,54164,vpn
2133,603460,1712,1395187,40,282,2124,372,40,814,13180,1408,10,72268,1085233,139510,3,90762,1172360,157470,590026205,15,2150794,17001420,3120311,1005988,6247425,55877892,11574206,30,8499,24,19650,1427,1342,0,0,85340,68484,vpn
3733,1054842,3632,9578989,40,282,3872,363,40,2637,40920,3511,8,36659,1241126,107294,1,39655,1154751,106238,590024468,26477,1184015,10807951,1623340,1004613,3642545,15397284,2740141,30,8575,29,77877,2439,2841,0,0,149340,145284,vpn
413,117128,376,199653,40,283,2536,354,40,530,8800,1040,25,73414,973746,156899,13,82534,1011844,166566,590027561,107461,1043926,6772765,1438886,1049586,19991203,255402316,48833639,14,4038,12,6884,299,260,0,0,16540,15044,vpn
2930,793932,2689,5876756,40,270,2960,353,40,2185,21940,2781,7,41483,1179711,125997,2,46045,1052587,132329,590021751,38564,1838107,11586574,2270208,1042544,6940753,62935303,11386812,43,11675,39,86422,1968,2241,0,0,117220,107564,vpn
1373,452150,1120,748268,40,329,2960,423,40,668,8800,1259,17,62784,973066,130425,3,77855,1103210,141606,590026625,27673,1217930,9108905,1999639,1004055,7315528,45745930,8524737,19,6459,16,10689,932,807,0,0,54940,44804,vpn
1243,446854,1066,906238,40,359,1500,412,40,850,8800,1427,10,64189,1112279,141243,6,76877,1156464,144512,590025077,26629,1335138,8112400,1769670,1032606,8476360,107888574,15948799,20,7325,17,14856,906,723,0,0,49740,42644,vpn
