Version,Protocol,SrcAddr,DestAddr,SrcPort,DestPort,SeqNum,dataSize
4,6,52.32.150.180,192.168.54.18,443,57358,1710627,0
4,6,52.32.150.180,192.168.54.18,443,57358,1710628,2920
4,6,52.32.150.180,192.168.54.18,443,57358,1713548,21
4,6,52.32.150.180,192.168.54.18,443,57358,1713569,0
4,6,52.49.39.179,192.168.54.18,443,41058,1717438,0
4,6,52.49.39.179,192.168.54.18,443,41058,1717439,2920
4,6,52.49.39.179,192.168.54.18,443,41058,1720359,31
4,6,52.49.39.179,192.168.54.18,443,41058,1720390,258
4,6,52.32.150.180,192.168.54.18,443,57358,1713569,258
4,6,93.184.220.29,192.168.54.18,80,53126,1724250,0
4,6,93.184.220.29,192.168.54.18,80,53128,1731062,0
4,6,93.184.220.29,192.168.54.18,80,53130,1737874,0
4,6,93.184.220.29,192.168.54.18,80,53128,1731063,788
4,6,93.184.220.29,192.168.54.18,80,53126,1724251,788
4,6,52.49.39.179,192.168.54.18,443,41058,1720648,331
4,6,52.32.150.180,192.168.54.18,443,57358,1713827,0
4,6,52.32.150.180,192.168.54.18,443,57358,1713827,295
4,6,54.230.197.57,192.168.54.18,443,46254,1744686,0
4,6,54.230.197.57,192.168.54.18,443,46254,1744687,2920
4,6,54.230.197.57,192.168.54.18,443,46254,1747607,1460
4,6,54.230.197.57,192.168.54.18,443,46254,1749067,4
4,6,54.230.197.57,192.168.54.18,443,46254,1749071,0
4,6,54.230.197.57,192.168.54.18,443,46254,1749071,258
4,6,54.230.197.57,192.168.54.18,443,46254,1749329,2920
4,6,54.230.197.57,192.168.54.18,443,46254,1752249,334
4,6,58.96.70.1,192.168.54.18,443,49768,1751499,0
4,6,58.96.70.1,192.168.54.18,443,49768,1751500,0
4,6,58.96.70.1,192.168.54.18,443,49770,1758313,0
4,6,58.96.70.1,192.168.54.18,443,49770,1758314,0
4,6,58.96.70.1,192.168.54.18,443,49768,1751500,1452
4,6,58.96.70.1,192.168.54.18,443,49768,1752952,1452
4,6,58.96.70.1,192.168.54.18,443,49770,1758314,1452
4,6,58.96.70.1,192.168.54.18,443,49770,1759766,1452
4,6,58.96.70.1,192.168.54.18,443,49768,1754404,1452
4,6,58.96.70.1,192.168.54.18,443,49768,1755856,885
4,6,54.68.236.208,192.168.54.18,443,47772,1765129,0
4,6,54.68.236.208,192.168.54.18,443,47772,1765130,2920
4,6,54.68.236.208,192.168.54.18,443,47772,1768050,91
4,6,93.184.220.29,192.168.54.18,80,53128,1731851,788
4,6,54.68.236.208,192.168.54.18,443,47772,1768141,0
4,6,58.96.70.1,192.168.54.18,443,49768,1756741,0
4,6,54.68.236.208,192.168.54.18,443,47772,1768141,258
4,6,58.96.70.1,192.168.54.18,443,49770,1761218,1452
4,6,58.96.70.1,192.168.54.18,443,49770,1762670,885
4,6,58.96.70.1,192.168.54.18,443,49768,1756741,59
4,6,58.96.70.1,192.168.54.18,443,49768,1756800,0
4,6,58.96.70.1,192.168.54.18,443,49770,1763555,0
4,6,54.68.236.208,192.168.54.18,443,47772,1768399,381
4,6,54.230.197.88,192.168.54.18,443,33308,1771946,0
4,6,54.230.197.88,192.168.54.18,443,33308,1771947,2920
4,6,54.230.197.88,192.168.54.18,443,33308,1774867,1460
4,6,54.230.197.88,192.168.54.18,443,33308,1776327,4
4,6,54.230.197.88,192.168.54.18,443,33308,1776331,0
4,6,54.230.197.88,192.168.54.18,443,33308,1776331,258
4,6,54.230.197.88,192.168.54.18,443,33308,1776589,1460
4,6,54.230.197.88,192.168.54.18,443,33308,1778049,4380
4,6,54.230.197.88,192.168.54.18,443,33308,1782429,1460
4,6,54.230.197.88,192.168.54.18,443,33308,1783889,8760
4,6,54.230.197.88,192.168.54.18,443,33308,1792649,1460
4,6,54.230.197.88,192.168.54.18,443,33308,1794109,2920
4,6,54.230.197.88,192.168.54.18,443,33308,1797029,7300
4,6,54.230.197.88,192.168.54.18,443,33308,1804329,2920
4,6,54.230.197.88,192.168.54.18,443,33308,1807249,1460
4,6,54.230.197.88,192.168.54.18,443,33308,1808709,1460
4,6,54.230.197.88,192.168.54.18,443,33308,1810169,13140
4,6,54.230.197.88,192.168.54.18,443,33308,1823309,1460
4,6,54.230.197.88,192.168.54.18,443,33308,1824769,7300
4,6,54.230.197.88,192.168.54.18,443,33308,1832069,118
4,6,54.230.197.88,192.168.54.18,443,33308,1832187,485
4,6,54.230.197.88,192.168.54.18,443,33308,1832672,5840
4,6,54.230.197.88,192.168.54.18,443,33308,1838512,8760
4,6,54.230.197.88,192.168.54.18,443,33308,1847272,1460
4,6,54.230.197.88,192.168.54.18,443,33308,1848732,1460
4,6,54.230.197.88,192.168.54.18,443,33308,1850192,2920
4,6,54.230.197.88,192.168.54.18,443,33308,1853112,353
4,6,54.230.197.88,192.168.54.18,443,33308,1853465,1460
4,6,54.230.197.88,192.168.54.18,443,33308,1854925,2920
4,6,54.230.197.88,192.168.54.18,443,33308,1857845,7300
4,6,54.230.197.88,192.168.54.18,443,33308,1865145,353
4,6,54.230.197.88,192.168.54.18,443,33308,1865498,5840
4,6,54.230.197.88,192.168.54.18,443,33308,1871338,1460
4,6,54.230.197.88,192.168.54.18,443,33308,1872798,7300
4,6,54.230.197.88,192.168.54.18,443,33308,1880098,2920
4,6,54.230.197.88,192.168.54.18,443,33308,1883018,14600
4,6,54.230.197.88,192.168.54.18,443,33308,1897618,4380
4,6,54.230.197.88,192.168.54.18,443,33308,1901998,1460
4,6,54.230.197.88,192.168.54.18,443,33308,1903458,2920
4,6,54.230.197.88,192.168.54.18,443,33308,1906378,4380
4,6,54.230.197.88,192.168.54.18,443,33308,1910758,10220
4,6,54.230.197.88,192.168.54.18,443,33308,1920978,4380
4,6,54.230.197.88,192.168.54.18,443,33308,1925358,2920
4,6,54.230.197.88,192.168.54.18,443,33308,1928278,5840
4,6,54.230.197.88,192.168.54.18,443,33308,1934118,1460
4,6,54.230.197.88,192.168.54.18,443,33308,1935578,11680
4,6,54.230.197.88,192.168.54.18,443,33308,1947258,1460
4,6,54.230.197.88,192.168.54.18,443,33308,1948718,8760
4,6,54.230.197.88,192.168.54.18,443,33308,1957478,1460
4,6,54.230.197.88,192.168.54.18,443,33308,1958938,5840
4,6,54.230.197.88,192.168.54.18,443,33308,1964778,2920
4,6,54.230.197.88,192.168.54.18,443,33308,1967698,21900
4,6,54.230.197.88,192.168.54.18,443,33308,1989598,14600
4,6,54.230.197.88,192.168.54.18,443,33308,2004198,13140
4,6,54.230.197.88,192.168.54.18,443,33308,2017338,4380
4,6,54.230.197.88,192.168.54.18,443,33308,2021718,2920
4,6,54.230.197.88,192.168.54.18,443,33308,2024638,7300
4,6,54.230.197.88,192.168.54.18,443,33308,2031938,21900
4,6,58.96.70.1,192.168.54.18,443,49770,1763555,59
4,6,54.230.197.88,192.168.54.18,443,33308,2053838,14600
4,6,54.230.197.88,192.168.54.18,443,33308,2068438,16060
4,6,54.230.197.88,192.168.54.18,443,33308,2084498,1460
